fault_description,fault_status
system error,Fixed
system error,Reported
system error,Reported
failed parts,Waiting
failed parts,Reported
failed parts,Reported
system error,Return
failed parts,Fixed
failed parts,Fixed
failed parts,Fixed
system error,Fixed
failed parts,Reported
failed parts,Return
failed parts,Waiting
failed parts,Waiting
system error,Fixed
system error,Reported
system error,Reported
failed parts,Waiting
failed parts,Reported
failed parts,Reported
system error,Return
failed parts,Fixed
failed parts,Fixed
failed parts,Fixed
system error,Fixed
failed parts,Reported
failed parts,Return
failed parts,Waiting
failed parts,Waiting
system error,Fixed
system error,Reported
system error,Reported
failed parts,Waiting
failed parts,Reported
failed parts,Reported
failed parts,Fixed
failed parts,Fixed
failed parts,Fixed
system error,Fixed
failed parts,Reported
failed parts,Waiting
failed parts,Waiting
system error,Fixed
system error,Reported
system error,Reported
failed parts,Reported
failed parts,Reported
failed parts,Fixed
failed parts,Fixed
failed parts,Fixed
system error,Fixed
failed parts,Reported
system error,Fixed
system error,Reported
system error,Reported
failed parts,Reported
failed parts,Reported
failed parts,Fixed
failed parts,Fixed
failed parts,Fixed
system error,Fixed
failed parts,Reported
