Store_Phone,Store_Email_Address
334-591-4561x465,welch.colby@example.net
(256)743-0310,kole.torp@example.org
122-084-8029,amely.ruecker@example.com
(636)443-4067,uhuels@example.net
+60(6)8081312118,arturo.orn@example.org
(411)133-9128,watsica.hettie@example.com
1-764-337-3453,hansen.krista@example.net
(422)705-5633,roosevelt61@example.com
(020)161-0983x567,kessler.maximillia@example.net
(904)958-9909x0087,harry.nicolas@example.org
793-966-9311x5303,breitenberg.veda@example.com
1-811-875-3222,waino.king@example.com
492-463-5967,quigley.queen@example.org
499-032-2149,katherine.kling@example.org
1-351-773-1587x95545,bednar.michael@example.org
