Store_Phone,Store_Email_Address
amely.ruecker@example.com,amely.ruecker@example.com
breitenberg.veda@example.com,breitenberg.veda@example.com
quigley.queen@example.org,quigley.queen@example.org
kole.torp@example.org,kole.torp@example.org
watsica.hettie@example.com,watsica.hettie@example.com
hansen.krista@example.net,hansen.krista@example.net
roosevelt61@example.com,roosevelt61@example.com
uhuels@example.net,uhuels@example.net
harry.nicolas@example.org,harry.nicolas@example.org
welch.colby@example.net,welch.colby@example.net
katherine.kling@example.org,katherine.kling@example.org
arturo.orn@example.org,arturo.orn@example.org
bednar.michael@example.org,bednar.michael@example.org
kessler.maximillia@example.net,kessler.maximillia@example.net
waino.king@example.com,waino.king@example.com
