fault_description,fault_status
failed parts,Waiting
system error,Return
failed parts,Return
failed parts,Reported
system error,Reported
system error,Fixed
failed parts,Fixed
system error,Fixed
system error,Reported
failed parts,Waiting
failed parts,Reported
failed parts,Fixed
failed parts,Reported
failed parts,Waiting
failed parts,Fixed
failed parts,Waiting
failed parts,Return
failed parts,Waiting
failed parts,Reported
failed parts,Reported
failed parts,Waiting
failed parts,Fixed
failed parts,Waiting
failed parts,Return
failed parts,Reported
