Player_name,Coach_name
Jean Luc Bouché,Smith Brown
Fiona Shiells,Joe Fabbri
Niki Ashton,Joe Fabbri
Ron Strynadka,Smith Brown
Jim Maloway,Smith Brown
Ross Eadie,Smith Brown
Mohamed Alli,Smith Brown
Ross C. Martin,Smith Brown
Matt Schaubroeck,Smith Brown
Patricia Cordner,Joe Fabbri
Pat Martin,Smith Brown
Judy Wasylycia-Leis,Joe Fabbri
Sean Robert,Smith Brown
Rachel Heinrichs,Joe Fabbri
Jean Luc Bouché,James Wong
Ron Strynadka,James Wong
Jim Maloway,James Wong
Ross Eadie,James Wong
Mohamed Alli,James Wong
Ross C. Martin,James Wong
Matt Schaubroeck,James Wong
Pat Martin,James Wong
Sean Robert,James Wong
Jean Luc Bouché,Robert Chen
Ron Strynadka,Robert Chen
Jim Maloway,Robert Chen
Ross Eadie,Robert Chen
Mohamed Alli,Robert Chen
Ross C. Martin,Robert Chen
Matt Schaubroeck,Robert Chen
Pat Martin,Robert Chen
Sean Robert,Robert Chen
Jean Luc Bouché,Jameson Tomas
Ron Strynadka,Jameson Tomas
Jim Maloway,Jameson Tomas
Ross Eadie,Jameson Tomas
Mohamed Alli,Jameson Tomas
Ross C. Martin,Jameson Tomas
Matt Schaubroeck,Jameson Tomas
Pat Martin,Jameson Tomas
Sean Robert,Jameson Tomas
